artist,title,release_date,genres
Drake & 21 Savage,Rich Flex,2022-11-22,{}
Taylor Swift,Anti-Hero,2022-10-21,{pop}
Mariah Carey,All I Want For Christmas Is You,2019-11-01,"{""dance pop"",pop,""urban contemporary""}"
Drake & 21 Savage,Spin Bout U,2022-11-15,{}
OFFICIAL HIGE DANDISM,Subtitle,2022-10-12,"{anime,""anime rock"",j-pop}"
Drake & 21 Savage,On BS,2022-11-08,{}
Chris Brown,Under the Influence,2019-10-04,"{""dance pop"",pop,r&b}"
Drake & 21 Savage,Circo Loco,2022-11-08,{}
Sam Smith & Kim Petras,Unholy,2022-02-15,{}
Drake & 21 Savage,Major Distribution,2022-11-04,"{""canadian hip hop"",""canadian pop"",""hip hop"",rap,""toronto rap""}"
Drake & 21 Savage,Pussy & Millions (feat. Travis Scott),2022-11-04,"{""canadian hip hop"",""canadian pop"",""hip hop"",rap,""toronto rap""}"
Drake,BackOutsideBoyz,2022-11-04,"{""canadian hip hop"",""canadian pop"",""hip hop"",rap,""toronto rap""}"
Drake & 21 Savage,Privileged Rappers,2022-11-15,{}
Drake & 21 Savage,Hours In Silence,2022-11-04,"{""canadian hip hop"",""canadian pop"",""hip hop"",rap,""toronto rap""}"
Kenshi Yonezu,KICK BACK,2022-10-12,"{anime,j-pop}"
Steve Lacy,Bad Habit,2022-06-29,{afrofuturism}
Drake & 21 Savage,Broke Boys,2022-11-04,"{""canadian hip hop"",""canadian pop"",""hip hop"",rap,""toronto rap""}"
Quavo & Takeoff,HOTEL LOBBY (Unc & Phew),2022-10-07,"{""atl hip hop"",""hip hop"",""melodic rap"",rap,""southern hip hop"",trap}"
Drake,Jumbotron Shit Poppin,2022-11-04,"{""canadian hip hop"",""canadian pop"",""hip hop"",rap,""toronto rap""}"
Lil Uzi Vert,Just Wanna Rock,2022-10-17,"{""melodic rap"",""philly rap"",rap,trap}"
Drake,Jimmy Cooks (feat. 21 Savage),2022-06-17,"{""canadian hip hop"",""canadian pop"",""hip hop"",rap,""toronto rap""}"
Taylor Swift,Bejeweled,2022-10-21,{pop}
The Weeknd,Die For You,2016-11-25,"{""canadian contemporary r&b"",""canadian pop"",pop}"
Bad Bunny,Tití Me Preguntó,2022-05-06,"{reggaeton,""trap latino""}"
Taylor Swift,Lavender Haze,2022-10-21,{pop}
Lil Baby,Freestyle,2017-12-01,"{""atl hip hop"",""atl trap"",rap,trap}"
Harry Styles,As It Was,2022-03-31,{pop}
Lil Baby,California Breeze,2022-10-14,"{""atl hip hop"",""atl trap"",rap,trap}"
Future,WAIT FOR U (feat. Drake & Tems),2022-04-29,"{""atl hip hop"",""hip hop"",rap,""southern hip hop"",trap}"
Beyoncé,CUFF IT,2022-07-29,"{""dance pop"",pop,r&b}"
Meghan Trainor,Made You Look,2022-10-21,"{""dance pop"",""hip pop"",pop,""post-teen pop""}"
Michael Bublé,It's Beginning To Look a Lot Like Christmas,2011-10-14,"{""adult standards"",""canadian pop"",""jazz pop"",lounge}"
Bobby Helms,Jingle Bell Rock,1957-12-02,"{""adult standards""}"
Rihanna,Lift Me Up (From Black Panther: Wakanda Forever - Music From and Inspired By),2022-10-28,"{""barbadian pop"",""dance pop"",pop,""urban contemporary""}"
GloRilla & Cardi B,Tomorrow 2,2022-09-29,{}
Drake & 21 Savage,Treacherous Twins,2022-11-04,"{""canadian hip hop"",""canadian pop"",""hip hop"",rap,""toronto rap""}"
Ariana Grande,Santa Tell Me,2014-11-24,"{""dance pop"",pop}"
Lil Baby,In A Minute,2022-04-07,"{""atl hip hop"",""atl trap"",rap,trap}"
Kelly Clarkson,Underneath the Tree,2013-10-29,"{""dance pop"",pop,""post-teen pop"",""talent show""}"
David Guetta & Bebe Rexha,I'm Good (Blue),2022-11-25,{}
Taylor Swift,Snow On The Beach (feat. Lana Del Rey),2022-10-21,{pop}
Lil Baby,Heyy,2022-10-14,"{""atl hip hop"",""atl trap"",rap,trap}"
OneRepublic,I Ain't Worried,2022-05-13,"{""piano rock"",pop}"
Drake & 21 Savage,More M’s,2022-11-04,"{""canadian hip hop"",""canadian pop"",""hip hop"",rap,""toronto rap""}"
Bad Bunny & Chencho Corleone,Me Porto Bonito,2022-11-08,{karaoke}
Taylor Swift,Maroon,2022-10-21,{pop}
SZA,Shirt,2022-10-28,"{pop,r&b,rap}"
Andy Williams,It's the Most Wonderful Time of the Year,1963-11-24,"{""adult standards"",""brill building pop"",""easy listening""}"
Taylor Swift,Midnight Rain,2022-10-21,{pop}
Drake,Middle of the Ocean,2022-11-04,"{""canadian hip hop"",""canadian pop"",""hip hop"",rap,""toronto rap""}"
LE SSERAFIM,ANTIFRAGILE,2022-10-17,{}
natori,Overdose,2022-10-27,{}
Taylor Swift,"You're On Your Own, Kid",2022-10-21,{pop}
Zach Bryan,Something in the Orange,2022-04-22,"{""oklahoma country""}"
Lil Baby,Forever (feat. Fridayy),2022-10-14,"{""atl hip hop"",""atl trap"",rap,trap}"
JVKE,golden hour,2022-09-23,"{""modern indie pop"",pop}"
Taylor Swift,Karma,2022-10-21,{pop}
Ado,New Genesis (UTA from ONE PIECE FILM RED),2022-06-23,{}
Lil Baby & Young Thug,Never Hating,2022-10-14,"{""atl hip hop"",""atl trap"",rap,trap}"
Taylor Swift,Question...?,2022-10-22,{pop}
The Kid LAROI & Justin Bieber,STAY,2021-10-01,{}
Taylor Swift,Vigilante Shit,2022-10-21,{pop}
Morgan Wallen,You Proof,2022-05-13,"{""contemporary country"",country}"
OFFICIAL HIGE DANDISM,Mixed Nuts,2022-04-15,"{anime,""anime rock"",j-pop}"
Tani Yuuki,W / X / Y,2021-12-08,"{j-pop,""japanese teen pop""}"
Justin Bieber,Mistletoe,2011-01-01,"{""canadian pop"",pop}"
Bad Bunny,Moscow Mule,2022-05-06,"{reggaeton,""trap latino""}"
Rod Wave,Break My Heart,2022-11-10,"{""florida rap""}"
Wham!,Last Christmas (Single Version),2013-01-01,{}
The Weeknd,Blinding Lights,2020-03-20,"{""canadian contemporary r&b"",""canadian pop"",pop}"
Brenda Lee,Rockin' Around the Christmas Tree (Single),1999-01-01,"{""adult standards"",""brill building pop"",""vocal jazz""}"
Tom Odell,Another Love,2013-06-24,"{""chill pop"",pop}"
Dean Martin,Let It Snow! Let It Snow! Let It Snow!,1959-01-01,"{""adult standards"",""easy listening"",lounge}"
Brent Faiyaz,ALL MINE,2022-07-08,"{""dmv rap"",""hip hop"",pop,r&b,rap}"
The Weeknd,Starboy (feat. Daft Punk),2017-01-27,{}
The Neighbourhood,Sweater Weather,2013-04-19,"{""modern alternative rock"",""modern rock"",pop,""shimmer pop""}"
